[2025-11-26 19:28:00] ===== START WEATHER CRAWL 2024 =====
[2025-11-26 19:28:00] Loaded 63 cities from city_2025-11-26.parquet
[2025-11-26 19:28:00] Crawling range: 2024-01-01 → 2024-01-31
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:05] ✔ Saved: /mnt/d/Data Engineer/Bài tập/ELT Weather/data/raw/weather/weather_2025-11-26.json
[2025-11-26 19:28:05] ⏱ Total time: 4 seconds
[2025-11-26 19:28:05] ===== FINISHED WEATHER CRAWL 2024 =====

[2025-11-29 14:28:07] ===== START WEATHER CRAWL 2025-11-28 14:28:07.814025 =====
[2025-11-29 14:28:08] Loaded 63 cities from city_2025-11-26.parquet
[2025-11-29 14:28:08] Crawling range: 2025-11-28 14:28:07.814025
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 20.6065846,106.2843471 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 20.4031348,106.5941615 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 20.5340294,105.9810248 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 19.9952624,106.485807 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 20.2867258,106.1000359 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 19.9781573,105.4816107 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 19.1976001,105.060676 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 18.3504832,105.7623047 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 17.5157162,106.6225405 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 17.2166964,106.9548246 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
